"转让人","受让人","IPC分类号","申请人地区","受让人地址","转让人省份","受让人省份"
"电子科技大学中山学院","广州鼎航信息技术服务有限公司","G06K9/32; G06K9/62","广东","510000 广东省广州市南沙区丰泽东路106号","广东","51"
"皇家飞利浦有限公司","联发科技股份有限公司","H04L1/22; H04M9/08","荷兰","中国台湾新竹科学工业园区新竹市笃行一路一号","荷兰","中国"
"TCL移动通信科技(宁波)有限公司","广州中天科技咨询有限公司","G06F8/65; G06F8/71; G06F21/31","浙江","510700 广东省广州市黄埔区光谱西路69号创意中心402房","浙江","51"
"西华大学","深圳泓越企业管理咨询有限公司","G06N5/046; G06N5/04; G06N5/048","广东","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1104","广东","51"
"辽东学院","常熟理工学院","G06F30/10; G06Q30/02; G06F113/12","江苏","215500 江苏省苏州市南三环路99号","江苏","21"
"湖南科技学院; 龙图腾网科技(合肥)股份有限公司","龙图腾网科技(合肥)股份有限公司; 深圳龙图腾科技成果转化有限公司","H04B17/382","湖南","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼1楼; 518000 广东省深圳市罗湖区笋岗街道笋岗东路3002号万通大厦22层2202室","湖南","23"
"夏普株式会社","华为技术有限公司","H04L29/02; H04W48/16","广东","518129 广东省深圳市龙岗区坂田华为总部办公楼","广东","51"
"惠普开发有限公司","瑞典爱立信有限公司","G06F9/06; G06F9/22","瑞典","瑞典斯德哥尔摩","瑞典","瑞典"
"中南大学","龙图腾网科技(合肥)股份有限公司","G06Q10/0639; G06Q50/00; G06N3/0442","湖南","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼1楼","湖南","23"
"西安交通大学","和宇健康科技股份有限公司","G06F17/30; G06F11/14","陕西","510627 广东省广州市天河区海安路13号之一2003、1801、1804房","陕西","51"
"宁波大学","深圳泓越信息科技有限公司","G06T7/00; G06T7/13","浙江","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1104","浙江","51"
"重庆理工大学","芽米科技(广州)有限公司","H04L29/06; G06K9/62; G06N3/04; G06N3/08","重庆","510530 广东省广州市黄埔区科丰路85号801房","重庆","51"
"中国地质大学(武汉)","龙图腾网科技(合肥)股份有限公司","G06V20/40; G06V20/13; G06V10/764; G06V10/25; G06V10/774; G06N3/006","湖北","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼1楼","湖北","23"
"华东师范大学","南方电网互联网服务有限公司","B25J11/00; B25J9/16; B25J5/00; G06K9/00; G06K9/62; G06N3/04; G06N3/08","上海","510699 广东省广州市越秀区东风东路757号大院办公综合楼606-609房","上海","51"
"英特尔公司","脸谱公司","G06F9/46; G06F9/38; G06F12/08; G06F9/00; G06F; G06F9/30; G06F9/48; G06F17/00","美国","美国加利福尼亚州","美国","美国"
"刘强","山东理工大学","G06K9/00; G06K9/34; G06K9/40; G06K9/46; G06K9/62; G06N3/04; G06N3/08; G06T5/00; G06T5/20; G06T7/70; B07C5/342; B07C5/36","山东","255086 山东省淄博市高新技术开发区高创园A座313室","山东","25"
"华南理工大学","广州明森科技股份有限公司","G06F9/445","广东","510520 广东省广州市天河区广汕一路500号1-5栋","广东","51"
"成都信息工程大学","重庆誉存大数据科技有限公司","H04L29/08","四川","401121 重庆市渝北区黄山大道中段53号附2号麒麟C座9层","四川","40"
"爱特梅尔公司","京东方科技集团股份有限公司","G06F3/044","美国","北京市朝阳区酒仙桥路10号","美国","北京"
"宇龙计算机通信科技(深圳)有限公司","南方电网互联网服务有限公司","H04L12/851; H04L12/26","广东","510000 广东省广州市越秀区东风东路757号大院办公综合楼606-609房(不可作厂房使用)","广东","51"
"金陵科技学院","合肥名龙电子科技有限公司","G06F1/16; G06F1/20","江苏","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1015","江苏","23"
"努比亚技术有限公司","南方电网互联网服务有限公司","G06F3/0346; G01C25/00","广东","510699 广东省广州市越秀区东风东路757号大院办公综合楼606-609房","广东","51"
"平安普惠企业管理有限公司","广州宾聚科技有限公司","G06F8/34; G06F8/38; G06F9/451","广东","510640 广东省广州市天河区科华街1号301至353室E162房(仅限办公)","广东","51"
"芯鑫融资租赁(厦门)有限责任公司; 展讯通信(上海)有限公司; 芯鑫融资租赁(北京)有限责任公司; 芯鑫融资租赁有限责任公司","展讯通信(上海)有限公司; 芯鑫融资租赁有限责任公司; 芯鑫融资租赁(北京)有限责任公司; 芯鑫融资租赁(厦门)有限责任公司","H04L1/00","上海","201203 上海市浦东新区张江高科技园区祖冲之路2288弄展讯中心1号楼; 201203 中国(上海)自由贸易试验区张杨路707号32楼3205F室; 201203 上海市浦东新区中国(上海)自由贸易试验区祖冲之路2288; 北京市西城区金融街乙9号威斯汀行政公寓2062室; 361012 福建省厦门市中国(福建)自由贸易试验区厦门片区象屿路97号厦门国际航运中心D栋8层05单元","上海","20"
"浙江工商大学","深圳万知达科技有限公司","H04L1/00; H04L1/16","浙江","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1002","浙江","51"
"歌尔光学科技有限公司","歌尔股份有限公司","G06F3/01; G06F3/0487; G06F21/32; G06T17/00","山东","261031 山东省潍坊市高新技术产业开发区东方路268号","山东","26"
"辛纳普蒂克斯公司","株式会社和冠","G06F3/0484; G06F3/0488","美国","日本埼玉县","美国","日本"
"暨南大学","合肥名龙电子科技有限公司","G06F9/50; H04L47/20; G06F9/455","广东","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1015","广东","23"
"四川轻化工大学","智博云信息科技(广州)有限公司","G06F30/17; G06F30/25; G06F30/28; G06F111/10; G06F113/08; G06F119/14","四川","510700 广东省广州市黄埔区中新广州知识城腾飞一街2号619室B101(仅限办公)","四川","51"
"杭州电子科技大学","深圳万知达技术转移中心有限公司","G06F30/33; G06F115/04","浙江","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1003","浙江","51"
"北京旷视科技有限公司; 北京迈格威科技有限公司","原力图新(重庆)科技有限公司","G06T5/50; G06T3/14; G06T3/4038; G06V10/74","北京","401120 重庆市渝北区两江新区卉竹路2号9幢2层257号","北京","40"
"天地伟业技术有限公司","天津天地伟业信息系统集成有限公司; 天地伟业技术有限公司","G06F8/654","天津","300392 天津市西青区华苑产业区(环外)海泰华科二路8号4号楼A310室","天津","30"
"重庆交通大学","龙图腾网科技(合肥)股份有限公司","G06F30/20; E02D17/20; G06F111/10; G06F119/14","重庆","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼1楼","重庆","23"
"北京迈格威科技有限公司","原力金智(重庆)科技有限公司","G06Q30/015; G06Q30/0601","北京","401100 重庆市渝北区两江新区卉竹路2号9幢2层257号","北京","40"
"平安普惠企业管理有限公司","广州诚毅科技咨询有限公司","G06F9/48; G06F9/50","广东","510000 广东省广州市南沙区丰泽东路106号(自编1号楼)X1301-D010825(集群注册)(JM)","广东","51"
"展讯通信(上海)有限公司; 芯鑫融资租赁(北京)有限责任公司; 芯鑫融资租赁有限责任公司; 芯鑫融资租赁(厦门)有限责任公司","芯鑫融资租赁有限责任公司; 展讯通信(上海)有限公司; 芯鑫融资租赁(北京)有限责任公司; 芯鑫融资租赁(厦门)有限责任公司","H04L27/26; H04L1/00","上海","200127 中国(上海)自由贸易试验区张杨路707号32楼3205F室; 201203 上海市浦东新区中国(上海)自由贸易试验区祖冲之路2288; 100033 北京市西城区金融街乙9号威斯汀行政公寓2062室; 201203 上海市浦东新区张江高科技园区祖冲之路2288弄展讯中心1号楼; 361012 福建省厦门市中国(福建)自由贸易试验区厦门片区象屿路97号厦门国际航运中心D栋8层05单元","上海","20"
"南京中兴新软件有限责任公司; 中兴通讯股份有限公司","中兴通讯股份有限公司; 南京中兴新软件有限责任公司","H04L29/06; G06F9/445","广东","518057 广东省深圳市南山区科技南路55号; 210012 江苏省南京市雨花台区紫荆花路68号","广东","51"
"北京四方继保自动化股份有限公司","北京四方继保自动化股份有限公司; 北京四方继保工程技术有限公司","G06F17/30; G06Q10/00; G06Q50/06","北京","100085 北京市海淀区上地信息产业基地四街9号","北京","10"
"高秀丽","中国石油大学(华东)","H04N21/422; G08C23/04","山东","266580 山东省青岛市黄岛区开发区长江西路66号","山东","26"
"石家庄铁道大学","合肥智慧龙机械设计有限公司","G06F30/20","河北","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1018","河北","23"
"展讯通信(上海)有限公司; 芯鑫融资租赁(厦门)有限责任公司; 芯鑫融资租赁有限责任公司; 芯鑫融资租赁(北京)有限责任公司","芯鑫融资租赁(厦门)有限责任公司; 展讯通信(上海)有限公司; 芯鑫融资租赁(北京)有限责任公司; 芯鑫融资租赁有限责任公司","H04L12/725","上海","361012 福建省厦门市中国(福建)自由贸易试验区厦门片区象屿路97号厦门国际航运中心D栋8层05单元; 201203 上海市浦东新区张江高科技园区祖冲之路2288弄展讯中心1号楼; 100033 北京市西城区金融街乙9号威斯汀行政公寓2062室; 201203 上海市浦东新区中国(上海)自由贸易试验区祖冲之路2288; 200127 中国(上海)自由贸易试验区张杨路707号32楼3205F室","上海","36"
"成都汇智远景科技有限公司","深圳格隆汇信息科技有限公司","H04L29/06; H04L29/08; H04L9/08","广东","518052 广东省深圳市南山区粤海街道大冲社区大冲商务中心(三期)4栋33B","广东","51"
"华为技术有限公司; 华为数字技术(成都)有限公司","超聚变数字技术有限公司; 华为技术有限公司","H04L12/12; H04L12/10; H04L12/56; H04L29/06","四川","450046 河南省郑州市郑东新区龙子湖智慧岛正商博雅广场1号楼9层; 518129 广东省深圳市龙岗区坂田华为总部办公楼","四川","45"
"日本电气株式会社","瑞典爱立信有限公司","G06K9/00; G06T7/00; G07C9/00","日本","瑞典斯德哥尔摩","日本","瑞典"
"西南交通大学","东旭科技集团有限公司","G06F30/18; G06F30/20","四川","100071 北京市丰台区四合庄路2号院4号楼1至17层101内11层1112","四川","10"
"北京天仪百康科贸有限公司","中科柏诚科技(北京)股份有限公司","G06Q40/02; G06Q10/04; G06N3/08; G06K9/62; G06F21/60","北京","101300 北京市顺义区高丽营镇文化营村北(临空二路1号)","北京","10"
"深圳市赛宇景观设计工程有限公司","陕西合友网络科技有限公司","H04L45/12; H04L45/24; G06Q30/0601","陕西","712000 陕西省咸阳市西咸新区沣西新城尚业路1309号总部经济园6号楼5层5-01室","陕西","71"
"LG电子株式会社","知识产权之桥一号有限责任公司","H04L5/00","韩国","日本东京都","韩国","日本"
"西门子工业公司","西门子股份公司","G06F15/16; G06F9/45; G06F12/00; G06F17/00; G05B19/05; G06F9/445","美国","德国慕尼黑","美国","德国"
"齐齐哈尔大学","东北石油大学","G06F19/00","黑龙江","163318 黑龙江省大庆市高新技术产业开发区发展路199号","黑龙","16"
"南昌欧菲光科技有限公司","安徽精卓光显技术有限责任公司","G06V40/13; G06F3/041","安徽","231323 安徽省六安市舒城县杭埠镇精密电子产业园1#楼","安徽","23"
"淮阴工学院; 龙图腾网科技(合肥)股份有限公司","龙图腾网科技(合肥)股份有限公司; 合肥九州龙腾科技成果转化有限公司","G06Q10/04; G06N20/20","江苏","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼1楼; 230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼203","江苏","23"
"东北林业大学","哈尔滨理工大学","G06F3/039","黑龙江","150080 黑龙江省哈尔滨市南岗区学府路52号","黑龙","15"
"李炳勇","北京国联视讯信息技术股份有限公司","H04L41/08; H04L41/0894; H04L41/084; H04L41/0246; H04L67/12; H04L67/30; G16Y40/35","北京","100085 北京市海淀区上地信息路1号1号楼703","北京","10"
"歌尔光学科技有限公司; 歌尔科技有限公司","歌尔科技有限公司; 歌尔光学科技有限公司","G06F3/01","山东","266104 山东省青岛市崂山区松岭路500号; 261031 山东省潍坊市潍坊高新区东明路以东玉清东街以北(歌尔电子办公楼502室)","山东","26"
"展讯通信(上海)有限公司; 芯鑫融资租赁(北京)有限责任公司; 芯鑫融资租赁有限责任公司; 芯鑫融资租赁(厦门)有限责任公司","芯鑫融资租赁有限责任公司; 展讯通信(上海)有限公司; 芯鑫融资租赁(厦门)有限责任公司; 芯鑫融资租赁(北京)有限责任公司","H04L27/26","上海","200127 中国(上海)自由贸易试验区张杨路707号32楼3205F室; 201203 上海市浦东新区中国(上海)自由贸易试验区祖冲之路2288; 361012 福建省厦门市中国(福建)自由贸易试验区厦门片区象屿路97号厦门国际航运中心D栋8层05单元; 100033 北京市西城区金融街乙9号威斯汀行政公寓2062室; 201203 上海市浦东新区张江高科技园区祖冲之路2288弄展讯中心1号楼","上海","20"
"上海斐讯数据通信技术有限公司","江西山水光电科技股份有限公司","H04L29/08; H04L29/06","江西","332000 江西省九江市濂溪区生态工业城平安路1010号","江西","33"
"华为技术有限公司","陈静","H04L12/24","广东","161300 黑龙江省齐齐哈尔市讷河市通南镇兴安村2组","广东","16"
"西安航空学院","龙图腾网科技(合肥)股份有限公司","G06N20/00; G06V20/59; G06V10/764; G06V10/774; G06V10/82; B60W40/08; B60W40/10","陕西","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼1楼","陕西","23"
"浙江理工大学","龙图腾网科技(合肥)股份有限公司","G06V40/10; G06V10/26; G06V10/44; G06V10/50; G06V10/56; G06V10/46; G06V10/762; G06V10/764; G06V10/80; G06V10/82; G06K9/62; G06N3/04; G06N3/08","浙江","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼1楼","浙江","23"
"中兴通讯股份有限公司; 南京中兴软件有限责任公司","南京中兴软件有限责任公司; 中兴通讯股份有限公司","H04L12/24","江苏","210012 江苏省南京市雨花台区宁南街道紫荆花路68号; 518057 广东省深圳市南山区科技南路55号","江苏","21"
"飞思卡尔半导体公司","英特尔公司","H04L9/32; H03K19/00; G06F9/32; G06F9/455; G06F11/30; G06F12/14; H01L; H04L9/00","美国","美国加利福尼亚","美国","美国"
"河南大学","南方电网互联网服务有限公司","H04L9/32; H04L9/06; H04L29/08","河南","510062 广东省广州市越秀区东风东路757号大院办公综合楼606-609房","河南","51"
"中兴通讯股份有限公司","深圳前海大数金融服务有限公司","G06F17/30","广东","518100 广东省深圳市前海深港合作区前湾一路1号A栋201室(入驻深圳市前海商务秘书有限公司)","广东","51"
"重庆邮电大学","龙图腾网科技(合肥)股份有限公司","G06K9/00","重庆","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼1楼","重庆","23"
"杭州电子科技大学","杭州电子科技大学上虞科学与工程研究院有限公司; 杭州电子科技大学","G06F18/23; G06F18/214; G06N20/00; G06N3/0464; G06N3/098","浙江","312300 浙江省绍兴市上虞区曹娥街道五星西路外五甲村上虞产教融合创新园1期复兴西路77号","浙江","31"
"江苏科技大学","江苏博智软件科技股份有限公司","G06F21/50; G06F21/30; G06F21/60","江苏","210012 江苏省南京市雨花台区软件大道168号3栋5层","江苏","21"
"西安工程大学","深圳恒远志达信息科技有限公司","G06V40/20; G06V20/40; G06V20/52; G06V10/82; G06V10/764; G06N3/0464; G06N3/048; G06N3/082","陕西","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1104","陕西","51"
"武汉斗鱼网络科技有限公司","浪潮通信技术有限公司","H04L29/06","湖北","266000 山东省青岛市城阳区丹山工业园湘潭路2号","湖北","26"
"北京深鉴智能科技有限公司; 北京深鉴科技有限公司","北京深鉴科技有限公司; 北京深鉴智能科技有限公司","G06N3/08","北京","100083 北京市海淀区王庄路1号院四号楼8层807室; 100083 北京市海淀区王庄路1号院四号楼17层1706号","北京","10"
"王洁","泰州市朗嘉馨网络科技有限公司","G06K9/00; G06K9/44; G06K9/46","江苏","225300 江苏省泰州市海陵区工业园区迎春东路98号1幢601A","江苏","22"
"北京拓思德科技有限公司; 北京奇禄管理咨询有限公司; 田雪松","北京奇禄管理咨询有限公司; 北京拓思德科技有限公司; 田雪松","G06F3/0354; G06F3/038","北京","100044 北京市海淀区中关村大街18号8层04-758; 100083 北京市海淀区花园东路10号高德大厦十一层1108号; 100029 北京市朝阳区北辰西路69号峻峰华亭D座1012; 100098 北京市海淀区北三环西路甲18号院2号楼803-3","北京","10"
"芯鑫融资租赁(北京)有限责任公司; 展讯通信(上海)有限公司; 芯鑫融资租赁有限责任公司; 芯鑫融资租赁(厦门)有限责任公司","展讯通信(上海)有限公司; 芯鑫融资租赁有限责任公司; 芯鑫融资租赁(厦门)有限责任公司; 芯鑫融资租赁(北京)有限责任公司","H04L1/00; H04W24/10","上海","201203 上海市浦东新区中国(上海)自由贸易试验区祖冲之路2288; 200127 中国(上海)自由贸易试验区张杨路707号32楼3205F室; 361012 福建省厦门市中国(福建)自由贸易试验区厦门片区象屿路97号厦门国际航运中心D栋8层05单元; 100033 北京市西城区金融街乙9号威斯汀行政公寓2062室; 201203 上海市浦东新区张江高科技园区祖冲之路2288弄展讯中心1号楼","上海","20"
"黑龙江大学","合肥智慧龙机械设计有限公司","G16C20/50; G16C20/70; G06N3/047; G06N3/08","黑龙江","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1018","黑龙","23"
"索尼株式会社","杭州海康威视数字技术股份有限公司","H04N5/225; H04N5/232; H04N5/92","日本","310053 浙江省杭州市滨江区阡陌路555号海康科技园","日本","31"
"华为技术有限公司","华为软件技术有限公司","H04L12/28; H04L29/06; H04L12/56; H04L12/24; H04N1/00; H04N7/16; H04N7/173","广东","江苏省南京市雨花台区安德门94号  邮编 :  210012","广东","江苏"
"国际商业机器公司","纽昂斯通讯公司","G06F3/16; G07C9/00; G10L15/00; G10L15/06; G10L15/26; H04Q9/00","美国","美国马萨诸塞州","美国","美国"
"杨明","安徽大学","H05B33/08; H05B44/00","安徽","230601 安徽省合肥市经济技术开发区九龙路111号安徽大学","安徽","23"
"赛普拉斯半导体公司","株式会社和冠","G06F3/041; G06F3/044","日本","日本埼玉县","日本","日本"
"抖音视界有限公司","北京火山引擎科技有限公司","G06F9/455","北京","100190 北京市海淀区紫金数码园4号楼13层1309","北京","10"
"西门子公司; 西门子医疗有限公司","西门子医疗有限公司; 西门子医疗股份公司","G06T7/00; G06T19/20","德国","德国埃朗根; 德国福希海姆","德国","德国"
"武汉科技大学","武汉安辰鑫信息科技有限公司","G06F30/17","湖北","430000 湖北省武汉市东湖新技术开发区光谷大道58号关南福星医药园1栋27层05室(自贸区武汉片区)","湖北","43"
"北京百度网讯科技有限公司","广州鼎航信息技术服务有限公司","G06V40/16; G06V10/74; G06V10/774","广东","510000 广东省广州市南沙区丰泽东路106号","广东","51"
"阿里巴巴集团控股有限公司","阿里巴巴(中国)有限公司","G06F9/445; G06F3/06",NA,"浙江省杭州市滨江区长河街道网商路699号4号楼5楼508室","Unknown","浙江"
"北京书生国际信息技术有限公司; 北京书生数字图书馆软件技术有限公司; 北京书生网络技术有限公司; 北京书生电子技术有限公司","北京书生电子技术有限公司; 天津书生软件技术有限公司","G06F21/24; G06F21/62","北京","100191 北京市海淀区花园东路11号泰兴大厦407","北京","10"
"重庆邮电大学","武汉安辰鑫信息科技有限公司","H04W4/029; H04W4/33; H04W64/00","湖北","430000 湖北省武汉市东湖新技术开发区光谷大道58号关南福星医药园1栋27层05室(自贸区武汉片区)","湖北","43"
"深圳大学","上海电机学院","G06V20/00; G06V10/82; G06V10/774; G06V10/30; G06N3/04; G06N3/08","广东","200120 上海市浦东新区水华路300号","广东","20"
"无锡北斗星通信息科技有限公司","罗普特(厦门)科技集团有限公司","H04N7/18; G08B21/06; G08B21/22","福建","361008 福建省厦门市软件园三期诚毅大街366号0006单元","福建","36"
"华南师范大学","常熟市知识产权运营中心有限公司","H01L21/205; H01L29/778","广东","215500 江苏省苏州市常熟市草荡路13号","广东","21"
"湖南工业大学","深圳万知达技术转移中心有限公司","B61C15/14; B61L15/00","湖南","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1003","湖南","51"
"山东科技职业学院","沈阳黑豹科技有限公司","G06F1/16","山东","110000 辽宁省沈阳市皇姑区塔湾街7号(塔湾街7号)","山东","11"
"诺基亚技术有限公司","起源资产集团有限责任公司","G06F1/32; H04W4/80; H04W76/18","芬兰","美国纽约州","芬兰","美国"
"重庆邮电大学","深圳泓越信息科技有限公司","H04L49/109; H04L45/16; H04Q11/00","重庆","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1104","重庆","51"
"中国农业大学","合肥名龙电子科技有限公司","G06Q10/04; G06Q10/06; G06Q50/02; G06K9/62","北京","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1015","北京","23"
"深兰人工智能芯片研究院(江苏)有限公司","深兰机器人(上海)有限公司","G05D1/02; H04N7/18","江苏","200336 上海市长宁区长宁999号6227室","江苏","20"
"宁波大学","湖州优研知识产权服务有限公司","H04N17/00; H04N17/02; H04N19/157","浙江","313000 浙江省湖州市南浔区南浔镇朝阳路666号南浔科技创业园一层1020室","浙江","31"
"努比亚技术有限公司","上海豹云网络信息服务有限公司","G06F3/04847; G06F3/04883; G06F3/04886; G06F3/04817","上海","200051 上海市长宁区茅台路179号一层L227X室","上海","20"
"重庆邮电大学","北京东土科技股份有限公司","H04L29/06","重庆","100000 北京市石景山区实兴大街30号院2号楼8层901","重庆","10"
"苏州天鸣信息科技有限公司","重庆工程职业技术学院","G06F17/30; G06F3/0481","重庆","402260 重庆市江津区滨江新城南北大道1号","重庆","40"
"宁波大学","湖州创感科技有限公司","G06T1/00; H04L9/00","浙江","313200 浙江省湖州市德清县禹越镇振兴路266号3幢337室","浙江","31"
"重庆金融资产交易所有限责任公司","广州中天科技咨询有限公司","G06F11/36","重庆","510700 广东省广州市黄埔区光谱西路69号创意中心402房","重庆","51"
"佳世达科技股份有限公司","友达光电股份有限公司","G06F9/46; H04N5/445; H04N5/00","台湾","中国台湾新竹市","台湾","中国"
"腾讯科技(深圳)有限公司","深圳市腾讯计算机系统有限公司; 腾讯科技(深圳)有限公司","G06F9/54","广东","518057 广东省深圳市南山区高新区科技中一路腾讯大厦35层","广东","51"
"瑞典爱立信有限公司","维沃移动通信有限公司","H04L12/26","瑞典","广东省东莞市长安镇靖海东路168号","瑞典","广东"
"王刚","无锡臻永科技有限公司","G06K9/00; G06K9/62; G06F15/78","江苏","214000 江苏省无锡市梁溪区南湖大道855号801-02室","江苏","21"
"华为终端有限公司","荣耀终端有限公司","G06F1/3234; G06K7/10; H04N5/232","广东","518040 广东省深圳市福田区香蜜湖街道东海社区红荔西路8089号深业中城6号楼A单元3401","广东","51"
"国网山东省电力公司电力科学研究院; 国家电网有限公司","国网智能科技股份有限公司","G06T11/00; G06T7/00","山东","250101 山东省济南市高新孙村片区飞跃大道以南、26号路以东(ICT产业园内)电力智能机器人生产项目101","山东","25"
"芯鑫融资租赁(北京)有限责任公司; 展讯通信(上海)有限公司; 芯鑫融资租赁有限责任公司; 芯鑫融资租赁(厦门)有限责任公司","展讯通信(上海)有限公司; 芯鑫融资租赁(厦门)有限责任公司; 芯鑫融资租赁有限责任公司; 芯鑫融资租赁(北京)有限责任公司","H04L25/02; H04L27/26","上海","201203 上海市浦东新区中国(上海)自由贸易试验区祖冲之路2288; 361012 福建省厦门市中国(福建)自由贸易试验区厦门片区象屿路97号厦门国际航运中心D栋8层05单元; 200127 中国(上海)自由贸易试验区张杨路707号32楼3205F室; 100033 北京市西城区金融街乙9号威斯汀行政公寓2062室; 201203 上海市浦东新区张江高科技园区祖冲之路2288弄展讯中心1号楼","上海","20"
"陕西师范大学","深圳前海大数金融服务有限公司","H04L9/08; H04L29/06","广东","518000 广东省深圳市前海深港合作区前湾一路1号A栋201室(入驻深圳市前海商务秘书有限公司)","广东","51"
"NXP股份有限公司","台湾积体电路制造股份有限公司","H04L1/00; H04L12/00; H04L47/43","台湾","中国台湾新竹科学工业园区新竹市","台湾","中国"
"浪潮(北京)电子信息产业有限公司","上海浪潮云计算服务有限公司","H04L9/32","北京","200436 上海市静安区江场三路238号411室","北京","20"
"西门子工业公司","西门子瑞士有限公司","G06T7/20","瑞士","瑞士苏黎世","瑞士","瑞士"
"武汉康慧然信息技术咨询有限公司","王锐","H04L29/06; H04L9/06; H04L9/32; H04L12/28","河南","456550 河南省安阳市林州市河顺镇栗家沟村617号","河南","45"
"厦门美图移动科技有限公司","芜湖中浦智能装备有限公司","G06F11/36","福建","241000 安徽省芜湖市芜湖经济技术开发区万春街道纬二次路36号","福建","24"
"南京邮电大学","上海星地通讯工程研究所","H04L29/06; H04L9/32","江苏","201800 上海市嘉定区工业开发区叶城路1288号","江苏","20"
"中国科学院声学研究所","郑州芯兰德网络科技有限公司","H04L29/08; H04L29/06","北京","450001 河南省郑州市高新技术产业开发区长椿路6号西美大厦东塔16层1601房间","北京","45"
"奕力科技(开曼)股份有限公司; 奕力科技股份有限公司","奕力科技股份有限公司; 奕力科技(开曼)股份有限公司","G06F3/041; G06F3/044","台湾","中国台湾新竹县竹北市台元二街1号10楼之1; 开曼群岛大开曼岛西湾路802号芙蓉道宏阁邮政信箱","台湾","中国"
"重庆交通大学","合肥名龙电子科技有限公司","G06F30/20; G06F30/15","重庆","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1015","重庆","23"
"南昌欧菲显示科技有限公司","安徽精卓光显技术有限责任公司","G06F3/041","安徽","231323 安徽省六安市舒城县杭埠镇精密电子产业园1#楼","安徽","23"
"鸿富锦精密工业(深圳)有限公司; 鸿海精密工业股份有限公司","深圳富泰宏精密工业有限公司","G06F15/02; G06F3/033; G06F30/33","广东",NA,"广东","Unknown"
"闽江学院","合肥名龙电子科技有限公司","G06N3/0464; G06N3/08","福建","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1015","福建","23"
"西南交通大学","合肥名龙电子科技有限公司","G06Q10/04; G06Q50/06; G06Q10/06; G06N3/00","四川","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1015","四川","23"
"南京鑫和汇通电子科技有限公司","深圳市凌晨知识产权运营有限公司","G06T7/00; G06T7/12; G06T7/13; G06T7/136; G06T7/68; G01B11/26","广东","518110 广东省深圳市龙华区龙华街道龙园社区龙发路428花园街B24花园街B23B","广东","51"
"黄河科技学院","重庆大学","G06F1/18; G06F1/20","重庆","400000 重庆市沙坪坝区正街174号","重庆","40"
"电子科技大学中山学院","合肥智慧龙机械设计有限公司","G06T11/60; G06T11/40; G06T7/80; G06T7/62; G06T7/11; G06T5/50; G06T5/00","广东","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1018","广东","23"
"三洋电机株式会社","知识产权之桥一号有限责任公司","G06F12/14; G06F21/00; G06F21/24; G06F21/60; G06F21/62","日本","日本国东京都","日本","日本"
"惠普发展公司, 有限责任合伙企业","瑞典爱立信有限公司","G06F3/041","瑞典","瑞典斯德哥尔摩","瑞典","瑞典"
"长安大学","深圳万知达科技有限公司","G06F11/34","陕西","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1002","陕西","51"
"石家庄铁道大学","合肥九州龙腾科技成果转化有限公司","G06T5/00; G06T5/40; G06T7/00; G06T7/11; G06T7/136","河北","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼203","河北","23"
"深圳富泰宏精密工业有限公司; 奇美通讯股份有限公司","嘉善县魏塘资产管理有限公司","G06F3/041","广东","314100 浙江省嘉兴市嘉善县魏塘街道环北西路355号二楼西侧西二间","广东","31"
"王龙","天聚地合(苏州)数据股份有限公司","H04L9/08; H04L9/06; H04L29/08","江苏","215000 江苏省苏州市苏州工业园区启月街288号紫金东方大厦307室","江苏","21"
"中国科学院计算技术研究所","国云科技股份有限公司","H04L12/56; H04W40/00","北京","523808 广东省东莞市松山湖科技产业园区松科苑14号楼","北京","52"
